loja da caldeira
relatório contas a pagar
emitido em  4 de julho de 2023        às 09:38                                                        página:    1
agrupado por classificação e ordenado por data vecto
nr.docu  seq/parc    cód.fo  razão fornecedo                      data ve  vlr bruto     ep  cód.r  plano conta
904925      4148 -        1  tuper s/a divisão de tubos           20/06/2023        839.34   1  2501   compra de mercador
905057      4149 -        1  tuper s/a divisão de tubos           20/06/2023      1,932.06   1  2501   compra de mercador
241965      4169 -       19  metalurgica golden arts ltda.        20/06/2023      2,633.69   1  2501   compra de mercador
31050       4220 -      177  plasnox ind. com. de plasticos ltda  20/06/2023        841.84   1  2501   compra de mercador
91940       4225 -        6  rockfibras do brasil ind. e com. lt  20/06/2023      3,806.24   1  2501   compra de mercador
53124       4226 -      374  esferaval ind. de valvulas e conexõ  20/06/2023      1,322.78   1  2501   compra de mercador
1882535     1748 -      278  expresso são miguel ltda.            21/06/2023        108.53   1  2502   pgto. frete compra
218008      1749 -      493  expresso são miguel s/a campinas     21/06/2023        178.50   1  2502   pgto. frete compra
947887      1750 -       29  transperola transp. rodoviarios ltd  21/06/2023        512.11   1  2502   pgto. frete compra
947881      1751 -       29  transperola transp. rodoviarios ltd  21/06/2023        261.24   1  2502   pgto. frete compra
948431      1753 -       29  transperola transp. rodoviarios ltd  21/06/2023        866.94   1  2502   pgto. frete compra
4004504     4113 -      224  duratex s.a.                         21/06/2023        731.86   1  2501   compra de mercador
427125      4170 -      164  univar brasil ltda.                  21/06/2023      5,406.84   1  2501   compra de mercador
5069        4213 -      444  h mech tubos e conexões ltda         21/06/2023      3,495.97   1  2501   compra de mercador
107469      4215 -      118  hidromatic com. equip. autom. indl.  21/06/2023        360.00   1  2501   compra de mercador
638360      4219 -      179  inox-tech com. de aços inoxidaveis   21/06/2023      2,857.85   1  2501   compra de mercador
26935       4221 -      141  tubo master distr. de aços ltda.     21/06/2023      8,798.00   1  2501   compra de mercador
18116       4232 -      243  e trivilin & trivilin ltda.          21/06/2023        100.00   1  2501   compra de mercador
